"MOD_CAP","TRAIN","FULL_CAP"
"taking another dab larry og knock perfect temp bed time",0,"Taking another dab of this Larry OG to knock me out perfect temp for bed time!
🍯🛢🐰🍟💤👾💨
#minitube #bubblecap #gasglass #shatter #errl #710society #vitamino #giveaway #glasscollector #sativa #crumble #indica #dailydabber #dablife #dabwithme #710 #dabstagram #tangie #snuffglass #fueledbythc #quartz #weshouldsmoke #rainbow #westcoastdabbers #kosmicpotato"
"dope x knockout skull slide arrived last long",0,"This dope @krznski x @errlectric_dave Knockout Skull slide just arrived and it won’t last long!
.
.
#krznskiglass #knockoutbowl #krznski #errlectricdave #edborosilicate"
"carbcap auction 254 inch featuring 2 reversals tight line work bidding starts 0 ends call reserve minimum bids 5 please comes signed dated shipping us 5 outside us 10 must pay within 24 hours winning auction thank everyone",1,"🌪🌪Carbcap AUCTION🌪🌪 ☀️This is a 25.4 inch #bubblecap featuring 2 reversals if that tight line work. ☀️Bidding starts now at 0 and ends when I call it. ☀️Reserve. ☀️Minimum bids of $5 please. ☀️She comes signed and dated with a @thetipen ☀️Shipping in the US is $5 Outside the US is $10. ☀️You must pay within 24 hours of winning the auction. 🙏Thank you everyone!!🙏 #bubbly #reversals #poppin #minitube #glassart #dabbersunite #headyglassart #pendantsofig #smokeshop #glassgallery #glassofig #glasscollector #glassforsale #buyboro #bestofglass #glass4sale #boroforsale #boroballers #highendglass #glassauction #headyglass #dabversdaily"
"auction auction auction dont like complicated always simplestarts 0 increments whatever winner includes 5 shipping spiral linework cap profound opal venmo cash app preferred paypal friends family also accepted ends 10pm good luck",1,"Auction! Auction! Auction! 
I don't like complicated so these are always simple....starts a $0 with increments of whatever.
Winner includes $5 for shipping 
Spiral linework cap with a Profound opal.
Venmo and Cash App preferred, PayPal friends and family also accepted.
Ends at 10pm. Good luck!
#glassofig #glassforsale #cannabiscommunity #dabbersdaily #boroforsale #boro #boroart"
"sold 8 tall made solid one 2 hole grommet downstem hit dm scoop",0,"(Sold) 8” tall #minitube made of solid #labyrinth from @gannettglasscolor 💚 This one is #10mm with a 2 hole grommet downstem 💦
Hit the dm to scoop 🍻
.
.
#glassforsale #headyglass #headyglassforsale #10mmmafia #lowtemp #terpsauce #thousanddollarsmoke #topshelflife #oprahswookclub #cflglass #terpsonterps #wasteittotasteit #hetti #headyauction #terptraveler #smallerisballer #grommytube #iowa #iowaglass #cbdisolate #sause #cbd #terpsauce #hashrosin #bubblecap"
"going diamond terps amazing prob clean tool sticky give good tap",0,"Going in on this diamond 💎. The terps on this are amazing! Prob should’ve clean the tool. So sticky had to give a good tap. #terps #concentrates #glassofig #terpsauce #terpdiamonds"
"24 hour auction hang loose hand pendant leave bids comments artist 2 x 15 inches l x w auction rules starting bid 60 bid increments 10 minimum tag person outbid highest bidder wins free international shipping credit debit card ends tuesday 830 et shipping week optional add handmade parachute necklace 10 247 support available payment due immediately conclusion auction failure pay block",1,"🚨24 Hour Auction🚨
‘Hang loose’ hand pendant. Leave your bids in the comments below!
Artist: @goober_gabe
(About 2 x 1.5 inches) (L x W)
👇👇AUCTION RULES👇👇
👉Starting Bid: $60
👉Bid Increments: $10 minimum
👉Tag the person you outbid
👉Highest Bidder Wins
👉Free International Shipping
👉Credit or Debit Card
👉Ends Tuesday 8:30 A.M. ET
👉Shipping Same Week
👉Optional: Add Handmade Parachute Necklace Only $10
👉24/7 support available @xfadesupport
PAYMENT IS DUE IMMEDIATELY AT CONCLUSION OF AUCTION; FAILURE TO PAY IS BLOCK —————————————————————
#xfade #headyglassforsale #shop #artist #headyglass #gallery #headshop #glassforsale #headylife #artist #glassart #glassartist #art #glassappreciation #glasscollector #collectible #pendy #glasspendant #pendant #heady #highendglass #borosilicate #highlife #boro #glass"
"black crushed opal puffco peak directional airflow bubble cap grabs first dibs takes 45 shipped credit",0,"📣📣📣Black crushed opal PUFFCO PEAK directional airflow bubble cap up for grabs, First dibs takes it, $45 shipped #rebelzglass #glassforsale #boroforsale #headyglassforsale #glass4sale #boro4sale #headyglass #carbcap #directionalairflow #bubblecap #terpcap #handmade #coloradomade #puffcopeak #puffcopeakcap #puffcopeakcaps #peak #black #crushedopal #dibs 📸 credit @borohoney719 📣📣📣"
"going get back bubble grind today whipped lastnight trans white extended nozzle deep dish buckets one 24 mm extended length 17 mm love bubblecaps",0,"Going to get back into the bubble grind today, whipped this up lastnight trans white with the extended nozzle for those deep dish buckets. This one is 24 mm with a extended length of 17 mm. I love bubblecaps how about you? 🔥
.
.
.
.
.
#bubblecapforsale #bubblecap #longnozzle #headybubblecap #transwhite #terpenes #terpsaver #spectatorglass"
"custom hand burned shogun display box nfs",0,"Custom hand burned Shogun display box!!!💮🏯🎏🎋⛩ NFS
•
•
•
 #woodburning #colorado #boulder #woodencass #pine #woodwork #wood #japeneses #scarab #shogun #satisfying #woodart #handcarved #japeneseglass #woodworking #woodcarving #workshop #bestofglass #love #pin #katakana #woodcase #case #displaycase #engraving #dremel #woodartist #headyart #japanesestyle #srg2019"
"fairy dabberbubble cap happy winged gal turned thanks looking great day",0,"🧚‍♀️Fairy dabber/bubble cap #4! I’m happy with how this winged gal turned out! Thanks for looking and have a great day!! #cglass #glassofct #glassofig #glasslife #glassart #handmade #boro #glass #fairy #wings #fairiesarereal #fairies #dabbersdaily #bubblecap #dab #dabstagram #weedstagram #dabs #710 #420 #cannabis #cannabiscommunity #cannabisculture #eastcoastglassblowers #newengland #happyfriday #happyweekend #art #glassblowing"
"auction exp green moonstone handle honeystick bubblecap featuring beautiful rainbow coin opal top fits 25mm flat top gavel v2 25mm flat top bangers 25mm grail 25mm flat top bangers starting 0 increments 10 please tag person outbid please paypal ready bid cannot pay ends call going going twice fashion good luck thanks peeping",1,"Auction 
Exp green 🍀 with moonstone handle 🌚 honeystick bubblecap featuring a beautiful rainbow coin 🌈 opal top
Fits @quaveclubbangers 25mm flat top @highlyeducatedti gavel v2 @evanshorebangers 
25mm flat top bangers
@toro_glass 25mm Grail and other 25mm flat top bangers 
starting at 0 with increments of 10
Please tag the person you outbid and
Please have paypal ready and do NOT bid if you cannot pay! :)
Ends when I call it in a going once going twice fashion
Good luck and thanks for peeping 
#triplehelix #mettaterrania #rosinonlyhomie #gratefuldom  #love #peace #💗#bubblecap #grapegod #hashrosin #moltenaura #chicago #goldruby #goldenamethyst #serum #gemini #lowtemp #oprahswookclub #highlife #hightime #cannabis #weedstagram #pastelpotion #moonstone"
